,180,220,260,300,340
487,2,2,3,4,6
488,2,2,2,4,5
489,2,2,3,6,6
490,0,2,2,2,6
491,0,2,2,3,4
492,0,1,2,2,2
493,0,2,2,3,3
494,0,1,2,2,2
495,0,2,2,2,4
496,0,2,2,2,5
497,0,2,2,3,5
498,0,2,2,4,6
499,2,2,3,6,6
500,0,2,2,3,5
501,0,2,2,2,4
502,0,2,2,2,3
503,0,2,2,3,3
504,1,2,2,3,5
505,0,2,2,3,5
506,0,1,2,2,3
507,0,1,2,2,3
508,1,2,2,4,5
509,0,2,2,3,3
510,0,2,2,3,5
511,0,2,2,3,5
