,none,E2,E3,E4,I2
333,4.0,2.0,3.0,3.0,8.0
334,4.0,2.0,3.0,3.0,28.0
335,5.0,6.0,3.0,3.0,26.0
336,5.0,1.0,2.0,5.0,16.0
337,5.0,4.0,3.0,5.0,17.0
338,3.0,2.0,3.0,3.0,8.0
339,4.0,2.0,3.0,3.0,14.0
340,5.0,2.0,3.0,3.0,15.0
341,5.0,3.0,3.0,5.0,21.0
342,5.0,3.0,3.0,5.0,13.0
343,4.0,2.0,2.0,2.0,8.0
344,4.0,2.0,2.0,2.0,8.0
345,4.0,2.0,3.0,5.0,83.0
346,5.0,2.0,3.0,3.0,13.0
347,2.0,2.0,2.0,2.0,4.0
348,4.0,2.0,3.0,2.0,7.0
349,5.0,3.0,3.0,5.0,73.0
350,5.0,9.0,3.0,3.0,72.0
351,4.0,2.0,2.0,2.0,7.0
352,5.0,2.0,3.0,5.0,14.0
353,5.0,2.0,3.0,5.0,18.0
354,4.0,2.0,3.0,3.0,9.0
355,4.0,1.0,2.0,2.0,15.0
356,2.0,1.0,3.0,2.0,67.0
357,5.0,3.0,3.0,5.0,80.0
358,4.0,2.0,2.0,2.0,8.0
359,4.0,2.0,3.0,2.0,8.0
360,4.0,2.0,3.0,3.0,8.0
361,2.0,1.0,2.0,2.0,8.0
362,2.0,1.0,3.0,2.0,7.0
363,4.0,1.0,2.0,3.0,20.0
364,6.0,10.0,3.0,3.0,8.0
365,3.0,2.0,2.0,2.0,5.0
366,4.0,2.0,3.0,3.0,63.0
367,4.0,1.0,3.0,2.0,7.0
368,3.0,1.0,2.0,2.0,8.0
369,3.0,1.0,2.0,1.0,6.0
370,2.0,1.0,2.0,2.0,8.0
371,5.0,1.0,3.0,2.0,13.0
372,4.0,2.0,3.0,3.0,94.0
373,4.0,1.0,2.0,2.0,8.0
374,5.0,2.0,3.0,5.0,41.0
375,5.0,1.0,2.0,5.0,27.0
376,5.0,11.0,3.0,5.0,54.0
377,5.0,10.0,3.0,6.0,89.0
378,5.0,2.0,3.0,3.0,36.0
379,4.0,1.0,2.0,2.0,10.0
380,4.0,1.0,2.0,2.0,9.0
381,1.0,1.0,2.0,2.0,8.0
382,6.0,1.0,3.0,3.0,13.0
383,5.0,2.0,3.0,5.0,84.0
384,4.0,1.0,3.0,3.0,16.0
385,7.0,2.0,3.0,5.0,116.0
386,4.0,2.0,3.0,3.0,34.0
387,2.0,2.0,2.0,2.0,7.0
388,4.0,1.0,3.0,4.0,13.0
389,5.0,2.0,3.0,4.0,13.0
390,3.0,2.0,3.0,3.0,6.0
391,4.0,1.0,3.0,3.0,30.0
392,5.0,2.0,3.0,5.0,17.0
393,4.0,2.0,3.0,2.0,7.0
394,2.0,2.0,3.0,2.0,7.0
395,2.0,2.0,3.0,3.0,8.0
396,5.0,2.0,3.0,5.0,19.0
397,5.0,2.0,3.0,2.0,10.0
398,6.0,3.0,3.0,3.0,8.0
399,4.0,1.0,2.0,5.0,33.0
400,3.0,2.0,3.0,3.0,12.0
401,3.0,2.0,3.0,2.0,6.0
402,2.0,1.0,2.0,2.0,7.0
403,3.0,2.0,3.0,3.0,9.0
404,2.0,1.0,2.0,2.0,7.0
405,5.0,1.0,3.0,5.0,30.0
406,5.0,2.0,3.0,5.0,42.0
407,5.0,4.0,3.0,5.0,69.0
408,4.0,2.0,3.0,3.0,10.0
409,5.0,1.0,3.0,5.0,14.0
410,2.0,1.0,2.0,1.0,8.0
411,5.0,2.0,3.0,5.0,83.0
