,none,E1,E2,I1
337,3.0,2.0,1.0,3.0
338,3.0,2.0,1.0,4.0
339,2.0,1.0,1.0,2.0
340,3.0,2.0,1.0,6.0
341,4.0,2.0,1.0,5.0
342,2.0,2.0,1.0,3.0
343,3.0,2.0,1.0,3.0
344,3.0,3.0,2.0,2.0
345,2.0,1.0,0.0,2.0
346,2.0,1.0,1.0,2.0
347,2.0,1.0,0.0,2.0
348,3.0,2.0,1.0,5.0
349,3.0,2.0,1.0,3.0
350,4.0,3.0,2.0,4.0
351,3.0,2.0,1.0,2.0
352,2.0,1.0,1.0,2.0
353,2.0,1.0,0.0,2.0
354,3.0,2.0,1.0,3.0
355,2.0,0.0,0.0,4.0
356,3.0,2.0,1.0,3.0
357,3.0,2.0,1.0,4.0
358,4.0,2.0,2.0,4.0
359,3.0,1.0,1.0,3.0
360,2.0,2.0,1.0,2.0
361,2.0,1.0,0.0,2.0
362,3.0,1.0,1.0,3.0
363,5.0,2.0,2.0,5.0
364,2.0,0.0,0.0,2.0
365,3.0,2.0,1.0,2.0
366,2.0,0.0,0.0,2.0
367,3.0,2.0,1.0,3.0
368,3.0,2.0,1.0,5.0
369,2.0,2.0,0.0,2.0
370,3.0,2.0,1.0,2.0
371,2.0,0.0,0.0,2.0
372,3.0,2.0,2.0,5.0
373,2.0,2.0,2.0,2.0
374,2.0,1.0,0.0,2.0
375,2.0,2.0,1.0,2.0
376,2.0,0.0,0.0,3.0
377,2.0,2.0,1.0,3.0
378,3.0,1.0,1.0,3.0
379,3.0,2.0,1.0,4.0
380,3.0,2.0,1.0,3.0
381,2.0,1.0,0.0,2.0
382,3.0,2.0,2.0,3.0
383,2.0,1.0,0.0,2.0
384,2.0,2.0,1.0,2.0
385,2.0,0.0,0.0,2.0
386,2.0,1.0,0.0,2.0
387,2.0,1.0,0.0,2.0
388,3.0,1.0,1.0,3.0
389,3.0,2.0,1.0,3.0
390,2.0,1.0,1.0,2.0
391,4.0,3.0,3.0,4.0
392,2.0,1.0,0.0,2.0
393,3.0,2.0,1.0,2.0
394,3.0,3.0,1.0,2.0
395,2.0,2.0,1.0,2.0
396,3.0,2.0,1.0,3.0
397,3.0,2.0,1.0,3.0
398,5.0,2.0,1.0,6.0
