,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class,pt_position,surf_area_um2
4466,720575941642488993,,,single_leg_neuromere,,,ventral_nerve_cord_bilateral_interconnecting,IN03B019,,,,,intrinsic,,,03B,,,,,gaba,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[136144 198848   4560],12166.052608
4467,720575941642516385,,,,,,ventral_nerve_cord_bilateral_restricted,IN01A047,,,,,intrinsic,,,01A,IN01A047,id:16618,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[134848 133984   2502],1772.424992
4468,720575941642528417,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN01A075,,,,,intrinsic,,,01A,IN01A075,id:26539,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[125712 138720   2394],2696.716512
4469,720575941642546849,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN13A041,,,,,intrinsic,,,13A,,,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[112208 143792   1799],3755.901168
4470,720575941642560161,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN19A061,,,,,intrinsic,,,19A,IN19A061,id:25248,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[154672 136608   3516],4827.59536
4471,720575941642568353,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN16B115,,,,,intrinsic,,,16B,IN16B115,id:25821,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[138096 135952   2693],2322.90712
4472,720575941642597064,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN19A088,,,,,intrinsic,,,19A,IN19A088,id:21052,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[151216 152880   4829],2275.024224
4473,720575941642623176,,,ascending_neuron,,,,AN07B069,AN_GNG_175,id:720575940637431613,,,intrinsic,,,07B,AN07B069,id:23996,,,acetylcholine,acetylcholine,,,neck_connective,left,ascending,[137552 143664   2433],4663.191856
4474,720575941642632648,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN01B044,,,,,intrinsic,,,01B,IN01B044,id:30461,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[112032 158368   1580],2052.721648
4475,720575941642634440,,,sequential_leg_neuromeres,,,ventral_nerve_cord_ipsilateral_interconnecting,IN16B037,,,,,intrinsic,,,16B,IN16B037,id:13762,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[135264 145072   2990],6428.108464
4476,720575941642634696,,,,,,ventral_nerve_cord_contralateral_restricted,IN01A085,,,,,intrinsic,,,01A,,,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[134192 143968   2883],1969.240176
4477,720575941642796626,,front_leg,bristle_neuron,tactile,,front_leg_bristle_neuron,SNxxxx,,,,,afferent,,,,SNxxxx,id:151033,left_prothoracic_leg_nerve,,acetylcholine,,,bristle,ventral_nerve_cord,left,sensory,,
4478,720575941642868385,,,descending_neuron,,,,DNg12_e,DNg12_e,id:720575940605282406,,,intrinsic,,,MX12,DNnt008,id:32672,,,acetylcholine,,MX12_R_37,,neck_connective,right,descending,[95920 44832   722],4381.409344
