w_idx,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class
2919,720575941552621118,,,single_leg_neuromere,,,ventral_nerve_cord_bilateral_restricted,IN06B029,,,,,intrinsic,,,06B,IN06B029,id:12354,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2920,720575941552629822,,,single_leg_neuromere,,,ventral_nerve_cord_bilateral_restricted,IN01A038,,,,,intrinsic,,,01A,IN01A038,id:18132,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2921,720575941552630078,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN01A069,,,,,intrinsic,,,01A,IN01A069,id:21931,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2922,720575941552635710,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN13B030,,,,,intrinsic,,,13B,IN13B030,id:19153,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2923,720575941552646206,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN07B074,,,,,intrinsic,,,07B,IN07B074,id:86815,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2924,720575941552711251,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN13B078,,,,,intrinsic,,,13B,IN13B078,id:22148,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2925,720575941552726407,,,descending_neuron,,,,DNg99,DNg99,id:720575940619332944,,,intrinsic,,,MD3,DNg99,id:11443,,,gaba,,,,neck_connective,right,descending
2926,720575941552768062,,,descending_neuron,,,,DNge135,DNge135,id:720575940622263066,,,intrinsic,,,MD3,DNxn172,id:21431,,,gaba,,,,neck_connective,right,descending
2927,720575941552863489,,,descending_neuron,,,,DNg92_b,DNg92_b,id:720575940642198747,,,intrinsic,,,LB12,DNg92,id:34006,,,acetylcholine,,,,neck_connective,left,descending
2928,720575941552907838,,,descending_neuron,,,,DNp45,DNp45,id:720575940617280657,,,intrinsic,PVLP117,id:1196526636,putative_primary,DNp45,id:17575,,,acetylcholine,,,,neck_connective,right,descending
2929,720575941552940059,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN01A078,,,,,intrinsic,,,01A,IN01A078,id:155169,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2930,720575941553008897,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A017,,,,,intrinsic,,,20A.22A,IN20A.22A017,id:21399,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2931,720575941553021953,,,,,,ventral_nerve_cord_bilateral_restricted,IN01A083,,,,,intrinsic,,,01A,IN01A083,id:27809,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2932,720575941553046043,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A071,,,,,intrinsic,,,20A.22A,IN20A.22A071,id:23581,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2933,720575941553058587,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN21A082,,,,,intrinsic,,,21A,IN21A082,id:28397,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2934,720575941553311386,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN13A050,,,,,intrinsic,,,13A,IN13A050,id:153564,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
