,none,E1,E2,E4,E5,I2
620,14.0,10.0,13.0,13.0,7.0,21.0
621,10.0,9.0,8.0,8.0,5.0,19.0
622,10.0,10.0,10.0,10.0,6.0,18.0
623,10.0,10.0,10.0,10.0,5.0,20.0
624,12.0,10.0,11.0,11.0,6.0,19.0
625,11.0,9.0,9.0,9.0,5.0,18.0
626,12.0,10.0,10.0,10.0,8.0,22.0
627,11.0,9.0,9.0,9.0,4.0,19.0
628,10.0,10.0,10.0,10.0,6.0,20.0
629,11.0,10.0,10.0,10.0,5.0,21.0
630,12.0,10.0,11.0,11.0,5.0,18.0
631,13.0,10.0,11.0,11.0,8.0,20.0
632,11.0,11.0,11.0,11.0,6.0,20.0
633,11.0,10.0,11.0,11.0,6.0,20.0
634,13.0,10.0,11.0,11.0,6.0,19.0
635,13.0,10.0,12.0,12.0,6.0,20.0
636,12.0,10.0,11.0,11.0,7.0,20.0
637,11.0,10.0,10.0,10.0,4.0,16.0
638,11.0,10.0,12.0,12.0,4.0,19.0
639,11.0,9.0,10.0,10.0,4.0,19.0
640,12.0,10.0,11.0,11.0,6.0,19.0
641,10.0,9.0,9.0,9.0,5.0,19.0
642,11.0,10.0,9.0,9.0,6.0,19.0
643,11.0,10.0,11.0,11.0,5.0,21.0
644,11.0,10.0,10.0,10.0,5.0,20.0
645,10.0,9.0,9.0,9.0,5.0,21.0
646,11.0,10.0,11.0,11.0,5.0,20.0
647,10.0,10.0,10.0,10.0,5.0,21.0
648,11.0,9.0,11.0,11.0,5.0,20.0
649,10.0,10.0,9.0,9.0,5.0,18.0
650,11.0,9.0,9.0,9.0,5.0,18.0
651,11.0,9.0,9.0,9.0,4.0,18.0
652,11.0,9.0,9.0,9.0,4.0,19.0
653,12.0,11.0,12.0,12.0,5.0,21.0
654,10.0,10.0,10.0,10.0,5.0,19.0
655,11.0,10.0,10.0,10.0,6.0,18.0
656,10.0,9.0,9.0,9.0,5.0,19.0
657,12.0,11.0,11.0,11.0,6.0,20.0
658,11.0,10.0,10.0,10.0,6.0,21.0
659,12.0,9.0,10.0,10.0,7.0,18.0
660,11.0,8.0,9.0,9.0,4.0,18.0
661,13.0,10.0,11.0,11.0,7.0,21.0
662,11.0,10.0,11.0,11.0,5.0,19.0
663,10.0,10.0,10.0,10.0,6.0,18.0
664,11.0,10.0,11.0,11.0,5.0,19.0
665,12.0,10.0,10.0,10.0,7.0,19.0
666,11.0,10.0,10.0,10.0,7.0,22.0
667,11.0,10.0,10.0,10.0,6.0,19.0
668,10.0,9.0,10.0,10.0,6.0,19.0
669,9.0,8.0,8.0,8.0,5.0,18.0
670,13.0,10.0,11.0,11.0,6.0,20.0
671,11.0,9.0,10.0,10.0,5.0,20.0
672,11.0,8.0,9.0,9.0,3.0,15.0
673,11.0,10.0,11.0,11.0,4.0,19.0
674,10.0,10.0,9.0,9.0,6.0,17.0
675,11.0,9.0,10.0,10.0,6.0,18.0
676,11.0,9.0,9.0,9.0,7.0,19.0
677,10.0,9.0,9.0,9.0,6.0,20.0
678,11.0,8.0,9.0,9.0,3.0,19.0
679,11.0,10.0,11.0,11.0,5.0,19.0
680,12.0,10.0,11.0,11.0,5.0,19.0
681,11.0,10.0,10.0,10.0,6.0,23.0
682,11.0,10.0,10.0,10.0,5.0,20.0
683,13.0,11.0,11.0,11.0,5.0,20.0
684,10.0,10.0,10.0,10.0,5.0,20.0
685,12.0,10.0,11.0,11.0,5.0,21.0
686,11.0,11.0,11.0,11.0,4.0,20.0
687,12.0,10.0,11.0,11.0,5.0,19.0
688,12.0,10.0,10.0,10.0,8.0,20.0
689,10.0,10.0,10.0,10.0,6.0,19.0
690,11.0,9.0,10.0,10.0,5.0,19.0
691,13.0,10.0,11.0,11.0,8.0,22.0
692,12.0,10.0,10.0,10.0,5.0,20.0
693,13.0,11.0,12.0,12.0,5.0,19.0
694,9.0,7.0,8.0,8.0,3.0,19.0
695,10.0,9.0,9.0,9.0,5.0,19.0
696,13.0,9.0,11.0,11.0,3.0,20.0
697,10.0,10.0,10.0,10.0,5.0,19.0
698,11.0,10.0,10.0,10.0,5.0,18.0
699,11.0,10.0,11.0,11.0,4.0,18.0
700,12.0,11.0,11.0,11.0,6.0,19.0
701,12.0,10.0,11.0,11.0,7.0,20.0
702,10.0,10.0,10.0,10.0,8.0,19.0
703,10.0,8.0,8.0,8.0,5.0,18.0
704,13.0,10.0,12.0,12.0,5.0,19.0
705,10.0,9.0,9.0,9.0,4.0,18.0
706,13.0,11.0,12.0,12.0,7.0,21.0
707,10.0,9.0,9.0,9.0,5.0,19.0
708,11.0,10.0,10.0,10.0,5.0,19.0
709,11.0,10.0,11.0,11.0,6.0,20.0
710,12.0,10.0,11.0,11.0,5.0,21.0
