,bodyId,type,instance,superclass,subclass,hemilineage,size,predictedNt,predictedNtProb,consensusNt,somaSide,rootSide,motor module,step contribution,class
3765,905049,IN20A.22A039,IN20A.22A039_L,vnc_intrinsic,,,558899883,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3766,905062,,,vnc_intrinsic,,,1074477015,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3767,905063,IN20A.22A012,IN20A.22A012_L,vnc_intrinsic,BR,,958869953,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3768,905066,IN20A.22A052,IN20A.22A052_L,vnc_intrinsic,,,436237308,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3769,905080,IN04B013,IN04B013_R,vnc_intrinsic,,,1300563094,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3770,905081,IN01A056,IN01A056_L,vnc_intrinsic,CR,,707705842,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3771,905083,IN04B013,IN04B013_R,vnc_intrinsic,BR,,980999180,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3772,905111,SNta29,,vnc_sensory,mechanosensory bristle,,168999019,acetylcholine,,acetylcholine,,R,,,sensory neuron
3773,905119,IN04B094,IN04B094_L,vnc_intrinsic,IR,,892466277,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3774,905123,IN04B091,IN04B091_L,vnc_intrinsic,IR,,643297304,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3775,905159,INXXX194,INXXX194_R,vnc_intrinsic,IR,,1285874203,glutamate,,glutamate,R,,,,intrinsic neuron
3776,905167,IN08A005,IN08A005_L,vnc_intrinsic,IR,,4006848883,glutamate,,glutamate,L,,,,intrinsic neuron
3777,905170,IN10B012,IN10B012_R,vnc_intrinsic,BR,,2365840776,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3778,905191,IN16B075_i,IN16B075_i_R,vnc_intrinsic,IR,,600650516,glutamate,,glutamate,R,,,,intrinsic neuron
3779,905207,TN1c_b,TN1c_b_L,vnc_intrinsic,,,1189355396,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3780,905223,IN13A042,IN13A042_L,vnc_intrinsic,IR,,776978352,gaba,,gaba,L,,,,intrinsic neuron
3781,905227,IN09A046,IN09A046_L,vnc_intrinsic,IR,,248877409,gaba,,gaba,L,,,,intrinsic neuron
3782,905247,vPR9_b,vPR9_b_M,vnc_intrinsic,BI,,1525496312,gaba,,gaba,M,,,,intrinsic neuron
3783,905263,IN14A006,IN14A006_L,vnc_intrinsic,BR,,1935656661,glutamate,,glutamate,L,,,,intrinsic neuron
3784,905266,IN04B053,IN04B053_R,vnc_intrinsic,IR,,853768655,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3785,905282,IN13A035,IN13A035_R,vnc_intrinsic,,,765109442,gaba,,gaba,R,,,,intrinsic neuron
3786,905303,IN27X014,IN27X014_L,vnc_intrinsic,BI,,2976916704,gaba,,gaba,L,,,,intrinsic neuron
3787,905310,IN16B041,IN16B041_L,vnc_intrinsic,IR,,1264374816,glutamate,,glutamate,L,,,,intrinsic neuron
3788,905314,IN03A089,IN03A089_L,vnc_intrinsic,IR,,476651726,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3789,905340,SNpp59,,vnc_sensory,chordotonal organ,,106354948,acetylcholine,,acetylcholine,,L,,,sensory neuron
3790,905415,IN07B006,IN07B006_L,vnc_intrinsic,BI,,5749771753,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3791,905447,IN18B014,IN18B014_L,vnc_intrinsic,BI,,2542872702,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3792,905460,SNpp19,,vnc_sensory,hair plate,,789990216,acetylcholine,,acetylcholine,,R,,,sensory neuron
3793,905464,IN12B043,IN12B043_L,vnc_intrinsic,CR,,628563487,gaba,,gaba,L,,,,intrinsic neuron
3794,905485,IN03A035,IN03A035_L,vnc_intrinsic,II,,1060675128,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3795,905496,IN21A006,IN21A006_L,vnc_intrinsic,IR,,2698150344,glutamate,,glutamate,L,,,,intrinsic neuron
3796,905503,IN14A089,IN14A089_L,vnc_intrinsic,CR,,369422366,glutamate,,glutamate,L,,,,intrinsic neuron
3797,905506,IN17A019,IN17A019_R,vnc_intrinsic,IR,,2790633981,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3798,905517,IN16B076,IN16B076_R,vnc_intrinsic,IR,,510869016,glutamate,,glutamate,R,,,,intrinsic neuron
3799,905528,AN27X019,AN27X019_R,ascending_neuron,BA,,1822956467,unclear,,unclear,R,,,,ascending neuron
3800,905531,IN20A.22A018,IN20A.22A018_R,vnc_intrinsic,,,387110181,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3801,905532,IN20A.22A012,IN20A.22A012_R,vnc_intrinsic,BR,,871440487,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3802,905550,IN03A028,IN03A028_L,vnc_intrinsic,BI,,1399295239,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3803,905551,IN11A008,IN11A008_L,vnc_intrinsic,,,947465696,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3804,905552,IN13B028,IN13B028_R,vnc_intrinsic,CR,,1098095623,gaba,,gaba,R,,,,intrinsic neuron
3805,905572,IN12A015,IN12A015_R,vnc_intrinsic,BI,,1940060564,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3806,905602,IN02A019,IN02A019_R,vnc_intrinsic,II,,1361291388,glutamate,,glutamate,R,,,,intrinsic neuron
3807,905622,IN12B041,IN12B041_R,vnc_intrinsic,CR,,582255688,gaba,,gaba,R,,,,intrinsic neuron
3808,905631,IN20A.22A009,IN20A.22A009_R,vnc_intrinsic,,,970226672,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3809,905654,"IN01B038,IN01B056","IN01B038,IN01B056_L",vnc_intrinsic,,,221389696,gaba,,gaba,L,,,,intrinsic neuron
3810,905658,IN20A.22A007,IN20A.22A007_R,vnc_intrinsic,IR,,1370466152,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
