,bodyId,type,instance,superclass,subclass,hemilineage,size,predictedNt,predictedNtProb,consensusNt,somaSide,rootSide,motor module,step contribution,class
1272,114550,IN10B007,IN10B007_L,ascending_neuron,CI,,3152134538,acetylcholine,,acetylcholine,L,,,,ascending neuron
1273,114757,AN04B004,AN04B004_L,ascending_neuron,IA,,2511701274,acetylcholine,,acetylcholine,L,,,,ascending neuron
1274,114795,AN08B031,AN08B031_L,ascending_neuron,BA,,1614490464,acetylcholine,,acetylcholine,L,,,,ascending neuron
1275,117433,AN08B106,AN08B106_R,ascending_neuron,,,612013917,acetylcholine,,acetylcholine,R,,,,ascending neuron
1276,119284,AN07B042,AN07B042_R,ascending_neuron,BA,,724763032,acetylcholine,,acetylcholine,R,,,,ascending neuron
1277,119995,AN12B060,AN12B060_L,ascending_neuron,,,561456204,gaba,,gaba,L,,,,ascending neuron
1278,120476,AN14B012,AN14B012_L,ascending_neuron,BA,,1145933162,gaba,,gaba,L,,,,ascending neuron
1279,122112,AN01A014,AN01A014_R,ascending_neuron,BA,,3119095157,acetylcholine,,acetylcholine,R,,,,ascending neuron
1280,124578,ANXXX086,ANXXX086_R,ascending_neuron,CA,,2347330436,acetylcholine,,acetylcholine,R,,,,ascending neuron
1281,125885,AN07B071_c,AN07B071_c_R,ascending_neuron,,,654946841,acetylcholine,,acetylcholine,R,,,,ascending neuron
1282,134030,AN08B043,AN08B043_L,ascending_neuron,BA,,1345331367,acetylcholine,,acetylcholine,L,,,,ascending neuron
1283,135694,AN07B045,AN07B045_R,ascending_neuron,,,1059289648,acetylcholine,,acetylcholine,R,,,,ascending neuron
1284,140194,AN12B060,AN12B060_L,ascending_neuron,BA,,510888044,gaba,,gaba,L,,,,ascending neuron
1285,140213,AN12B060,AN12B060_L,ascending_neuron,BA,,483851613,gaba,,gaba,L,,,,ascending neuron
1286,144505,DNg65,DNg65_L,descending_neuron,xl,,1870460196,unclear,,unclear,L,,,,descending neuron
1287,148063,AN12B060,AN12B060_R,ascending_neuron,BA,,651914364,gaba,,gaba,R,,,,ascending neuron
1288,149075,AN19B051,AN19B051_R,ascending_neuron,BA,,868533072,acetylcholine,,acetylcholine,R,,,,ascending neuron
1289,149486,AN07B045,AN07B045_L,ascending_neuron,,,719430322,acetylcholine,,acetylcholine,L,,,,ascending neuron
1290,149920,DNg106,DNg106_R,descending_neuron,lt,,460022850,gaba,,gaba,R,,,,descending neuron
1291,150232,AN07B069_a,AN07B069_a_R,ascending_neuron,,,565226385,acetylcholine,,acetylcholine,R,,,,ascending neuron
1292,151406,DNge117,DNge117_R,descending_neuron,nt,,493268463,gaba,,gaba,R,,,,descending neuron
1293,153028,DNge074,DNge074_R,descending_neuron,xl,,2217994704,acetylcholine,,acetylcholine,R,,,,descending neuron
1294,154274,AN08B061,AN08B061_L,ascending_neuron,BA,,805268423,acetylcholine,,acetylcholine,L,,,,ascending neuron
1295,155172,AN07B045,AN07B045_L,ascending_neuron,,,985291075,acetylcholine,,acetylcholine,L,,,,ascending neuron
1296,160651,AN17A014,AN17A014_R,ascending_neuron,IA,,2948422030,acetylcholine,,acetylcholine,R,,,,ascending neuron
1297,161298,AN12B089,AN12B089_R,ascending_neuron,,,392186804,gaba,,gaba,R,,,,ascending neuron
1298,161406,"DNp51,DNpe019","DNp51,DNpe019(PS296)_L",descending_neuron,xn,,2074138120,acetylcholine,,acetylcholine,L,,,,descending neuron
1299,165031,DNpe018,DNpe018(PS227)_L,descending_neuron,xn,,222174418,acetylcholine,,acetylcholine,L,,,,descending neuron
1300,169850,AN08B005,AN08B005_R,ascending_neuron,BA,,3941502294,acetylcholine,,acetylcholine,R,,,,ascending neuron
1301,170107,DNge182,DNge182_L,descending_neuron,xn,,1700589007,glutamate,,glutamate,L,,,,descending neuron
1302,171800,AN08B100,AN08B100(92001)_R,ascending_neuron,BA,,346660055,acetylcholine,,acetylcholine,R,,,,ascending neuron
1303,173593,DNpe008,DNpe008(PS225)_R,descending_neuron,ht,,485979558,acetylcholine,,acetylcholine,R,,,,descending neuron
1304,178260,AN07B045,AN07B045_R,ascending_neuron,,,1020504676,acetylcholine,,acetylcholine,R,,,,ascending neuron
1305,178516,DNpe029,DNpe029_L,descending_neuron,xl,,807817546,acetylcholine,,acetylcholine,L,,,,descending neuron
1306,182601,AN12B060,AN12B060_L,ascending_neuron,BI,,464031063,gaba,,gaba,L,,,,ascending neuron
1307,183777,IN10B007,IN10B007_R,ascending_neuron,CI,,3145289578,acetylcholine,,acetylcholine,R,,,,ascending neuron
1308,184141,AN10B046,AN10B046_L,ascending_neuron,BA,,434839894,acetylcholine,,acetylcholine,L,,,,ascending neuron
1309,184205,AN07B071_a,AN07B071_a_R,ascending_neuron,,,739801651,acetylcholine,,acetylcholine,R,,,,ascending neuron
1310,185977,DNge102,DNge102_L,descending_neuron,xl,,1486750576,glutamate,,glutamate,L,,,,descending neuron
1311,186380,DNge144,DNge144_L,descending_neuron,xl,,1491853460,acetylcholine,,acetylcholine,L,,,,descending neuron
1312,187243,AN07B045,AN07B045_R,ascending_neuron,BA,,938047634,acetylcholine,,acetylcholine,R,,,,ascending neuron
1313,188933,DNg92_a,DNg92_a_L,descending_neuron,ut,,958554116,acetylcholine,,acetylcholine,L,,,,descending neuron
1314,188947,DNg60,DNg60_R,descending_neuron,xn,,2113994982,gaba,,gaba,R,,,,descending neuron
