,55,65,75,85,95,105
426,2,4,5,12,16,73
427,1,3,5,11,74,39
428,1,4,5,6,10,24
429,1,4,5,12,33,34
430,3,5,84,89,110,93
431,1,4,5,10,17,21
432,2,5,10,47,80,85
433,3,5,10,88,114,82
434,4,5,5,11,14,40
435,4,5,9,14,22,33
436,1,1,4,6,12,15
437,1,4,5,11,16,68
438,2,4,8,68,72,109
439,1,1,3,5,6,12
440,1,4,4,10,15,35
441,1,1,4,5,6,11
442,2,4,5,9,22,41
443,2,4,7,14,109,124
444,1,3,5,10,36,74
445,2,4,5,7,12,16
446,1,3,5,9,12,16
447,3,5,9,14,19,42
448,2,5,7,11,18,23
449,1,4,6,11,18,19
450,1,4,5,12,39,89
451,1,1,4,5,8,12
452,1,4,9,40,42,45
453,1,4,6,11,58,38
454,1,1,5,5,10,35
455,1,3,5,9,19,93
456,3,4,8,15,21,83
457,1,3,5,10,14,40
458,1,3,5,5,10,13
459,2,4,8,13,88,87
460,2,5,12,20,39,87
461,1,4,7,48,56,48
462,2,5,8,13,19,83
463,1,4,5,9,11,31
464,1,2,5,6,10,13
465,1,1,5,8,12,89
466,3,9,23,28,39,113
467,2,5,10,13,19,95
468,1,5,7,11,16,20
469,1,3,5,8,14,41
470,1,2,4,5,5,9
471,4,5,13,16,35,90
472,2,2,5,9,15,34
473,1,4,5,7,10,29
474,1,4,5,9,68,68
475,1,2,5,8,63,81
476,4,5,29,38,83,83
477,2,4,5,8,15,20
478,2,5,6,9,11,17
479,3,5,9,14,21,85
480,5,6,65,65,62,75
481,1,3,4,8,14,86
482,2,4,8,15,34,45
483,1,2,5,7,12,31
484,3,5,14,18,90,92
485,2,4,7,7,13,15
486,1,2,4,9,37,45
487,1,4,5,8,10,27
488,1,4,5,10,15,41
489,3,5,6,36,35,89
490,1,4,6,12,40,89
491,1,5,6,10,37,43
492,1,3,6,10,15,18
493,3,4,6,11,16,19
494,1,3,4,5,10,15
495,1,2,4,9,81,45
496,2,5,6,9,15,21
497,1,3,5,6,11,19
498,1,5,5,13,27,86
499,1,3,5,10,16,79
500,2,5,10,68,38,85
501,2,5,5,11,16,40
502,3,5,6,12,15,47
503,1,4,5,12,86,41
504,1,4,8,19,90,92
505,2,5,5,11,14,74
506,3,5,8,13,18,84
507,3,3,5,8,68,37
508,1,4,6,13,82,92
509,1,2,5,7,13,25
510,1,2,5,6,9,12
511,1,4,5,16,20,24
