,none,E1,E2,I2
380,8.0,5.0,3.0,15.0
381,9.0,5.0,2.0,12.0
382,7.0,4.0,1.0,13.0
383,9.0,5.0,2.0,15.0
384,9.0,6.0,1.0,12.0
385,9.0,5.0,2.0,12.0
386,8.0,7.0,2.0,14.0
387,9.0,5.0,2.0,12.0
388,7.0,4.0,1.0,12.0
389,11.0,2.0,2.0,16.0
390,7.0,6.0,2.0,17.0
391,7.0,5.0,1.0,14.0
392,7.0,7.0,2.0,13.0
393,8.0,5.0,2.0,14.0
394,8.0,5.0,3.0,15.0
395,8.0,5.0,1.0,13.0
396,9.0,12.0,4.0,14.0
397,7.0,4.0,2.0,18.0
398,8.0,9.0,3.0,18.0
399,7.0,4.0,2.0,12.0
400,9.0,3.0,1.0,12.0
401,9.0,3.0,1.0,12.0
402,8.0,4.0,2.0,12.0
403,11.0,10.0,3.0,16.0
404,9.0,6.0,2.0,15.0
405,9.0,5.0,1.0,13.0
406,7.0,5.0,2.0,14.0
407,8.0,4.0,2.0,13.0
408,7.0,1.0,1.0,10.0
409,8.0,5.0,2.0,18.0
410,15.0,5.0,2.0,14.0
411,7.0,3.0,1.0,10.0
412,7.0,1.0,1.0,11.0
413,9.0,5.0,3.0,16.0
414,9.0,2.0,1.0,12.0
415,7.0,4.0,1.0,14.0
416,9.0,6.0,3.0,18.0
417,8.0,4.0,2.0,13.0
418,7.0,5.0,2.0,15.0
419,7.0,7.0,3.0,18.0
420,9.0,8.0,1.0,19.0
421,8.0,2.0,1.0,12.0
422,9.0,3.0,1.0,14.0
423,9.0,3.0,1.0,11.0
424,7.0,5.0,1.0,13.0
425,7.0,2.0,1.0,12.0
426,8.0,1.0,1.0,13.0
427,10.0,4.0,2.0,13.0
428,8.0,5.0,3.0,14.0
429,8.0,3.0,1.0,13.0
430,8.0,3.0,2.0,16.0
431,8.0,1.0,1.0,10.0
432,7.0,4.0,1.0,11.0
433,7.0,6.0,3.0,12.0
434,8.0,4.0,2.0,14.0
435,8.0,5.0,2.0,14.0
436,7.0,5.0,3.0,17.0
437,8.0,3.0,2.0,13.0
438,13.0,4.0,2.0,15.0
439,7.0,4.0,2.0,12.0
440,8.0,3.0,1.0,14.0
441,8.0,5.0,1.0,15.0
442,8.0,5.0,2.0,14.0
443,7.0,2.0,1.0,13.0
444,7.0,2.0,2.0,13.0
445,10.0,3.0,1.0,13.0
446,11.0,7.0,4.0,17.0
447,9.0,4.0,2.0,14.0
448,9.0,3.0,1.0,12.0
449,8.0,3.0,1.0,11.0
450,9.0,6.0,1.0,16.0
451,10.0,3.0,2.0,11.0
452,11.0,4.0,1.0,10.0
453,10.0,6.0,2.0,14.0
454,8.0,5.0,2.0,16.0
455,7.0,4.0,1.0,14.0
456,8.0,3.0,2.0,11.0
457,7.0,4.0,1.0,12.0
458,7.0,5.0,3.0,14.0
459,9.0,3.0,1.0,14.0
460,9.0,5.0,1.0,13.0
461,9.0,2.0,1.0,11.0
462,13.0,6.0,4.0,17.0
463,8.0,3.0,1.0,12.0
464,10.0,4.0,2.0,13.0
465,7.0,4.0,1.0,15.0
466,10.0,3.0,2.0,16.0
467,12.0,1.0,1.0,11.0
468,9.0,4.0,1.0,14.0
469,8.0,1.0,1.0,13.0
470,8.0,5.0,2.0,15.0
471,7.0,5.0,2.0,13.0
472,9.0,6.0,4.0,17.0
473,6.0,11.0,6.0,20.0
474,8.0,6.0,3.0,13.0
475,8.0,5.0,3.0,12.0
476,9.0,8.0,4.0,19.0
477,9.0,6.0,3.0,17.0
478,8.0,5.0,2.0,14.0
479,8.0,2.0,2.0,12.0
480,8.0,3.0,1.0,12.0
481,7.0,3.0,1.0,12.0
482,8.0,6.0,2.0,13.0
483,9.0,5.0,2.0,13.0
484,10.0,6.0,1.0,12.0
485,12.0,2.0,2.0,11.0
486,7.0,3.0,1.0,12.0
487,7.0,3.0,1.0,12.0
488,8.0,5.0,1.0,16.0
489,8.0,2.0,1.0,11.0
490,9.0,5.0,2.0,15.0
491,7.0,1.0,1.0,12.0
492,9.0,6.0,2.0,16.0
493,9.0,2.0,1.0,10.0
494,7.0,1.0,1.0,12.0
495,8.0,1.0,1.0,9.0
496,7.0,3.0,2.0,13.0
497,7.0,2.0,1.0,12.0
498,8.0,3.0,1.0,13.0
499,10.0,5.0,2.0,13.0
500,9.0,3.0,1.0,14.0
501,9.0,4.0,1.0,12.0
502,8.0,6.0,3.0,17.0
503,9.0,4.0,1.0,13.0
504,10.0,7.0,2.0,15.0
505,10.0,4.0,2.0,13.0
506,7.0,4.0,1.0,12.0
507,8.0,4.0,1.0,15.0
508,9.0,4.0,2.0,14.0
509,8.0,2.0,1.0,11.0
510,8.0,3.0,1.0,15.0
511,9.0,2.0,1.0,11.0
512,8.0,4.0,2.0,12.0
513,7.0,4.0,3.0,14.0
514,9.0,9.0,2.0,18.0
515,8.0,5.0,1.0,15.0
516,7.0,3.0,1.0,13.0
517,7.0,1.0,1.0,10.0
518,8.0,10.0,5.0,25.0
519,7.0,6.0,3.0,21.0
520,7.0,6.0,2.0,12.0
521,7.0,5.0,1.0,11.0
522,11.0,1.0,1.0,10.0
523,7.0,6.0,2.0,15.0
524,8.0,4.0,1.0,13.0
525,10.0,2.0,2.0,14.0
526,8.0,3.0,1.0,12.0
527,8.0,4.0,1.0,13.0
528,8.0,8.0,5.0,13.0
529,11.0,5.0,2.0,16.0
530,8.0,1.0,1.0,9.0
531,9.0,1.0,1.0,11.0
532,8.0,2.0,1.0,15.0
