,MANC,FANC,mCNS,BANC
354,4.0,11.0,15.0,4.0
355,4.0,11.0,15.0,4.0
356,2.0,10.0,10.0,4.0
357,5.0,9.0,19.0,4.0
358,4.0,13.0,16.0,5.0
359,4.0,12.0,20.0,7.0
360,4.0,9.0,13.0,4.0
361,2.0,12.0,16.0,4.0
362,2.0,12.0,15.0,5.0
363,4.0,11.0,18.0,4.0
364,6.0,11.0,20.0,4.0
365,3.0,12.0,19.0,5.0
366,4.0,10.0,17.0,4.0
367,4.0,12.0,18.0,4.0
368,3.0,10.0,13.0,3.0
369,3.0,10.0,17.0,4.0
370,2.0,13.0,17.0,4.0
371,5.0,10.0,18.0,7.0
372,4.0,11.0,14.0,4.0
373,4.0,10.0,17.0,6.0
374,5.0,10.0,16.0,4.0
375,5.0,6.0,12.0,5.0
376,5.0,12.0,18.0,6.0
377,5.0,11.0,19.0,4.0
378,5.0,11.0,17.0,3.0
379,4.0,11.0,18.0,4.0
380,4.0,12.0,19.0,4.0
381,1.0,10.0,20.0,5.0
382,6.0,11.0,18.0,4.0
383,5.0,11.0,16.0,7.0
384,4.0,11.0,16.0,4.0
385,7.0,11.0,11.0,4.0
386,4.0,10.0,17.0,5.0
387,2.0,12.0,14.0,4.0
388,4.0,11.0,18.0,4.0
389,5.0,10.0,15.0,4.0
390,3.0,11.0,18.0,3.0
391,4.0,10.0,17.0,5.0
392,5.0,11.0,17.0,5.0
393,4.0,11.0,16.0,4.0
394,2.0,12.0,18.0,4.0
395,2.0,10.0,15.0,7.0
396,5.0,10.0,20.0,4.0
397,5.0,11.0,17.0,4.0
398,6.0,11.0,16.0,6.0
399,4.0,11.0,18.0,4.0
400,3.0,11.0,19.0,4.0
401,3.0,12.0,17.0,3.0
402,2.0,11.0,16.0,5.0
403,3.0,10.0,17.0,5.0
404,2.0,10.0,18.0,5.0
405,5.0,11.0,16.0,5.0
406,5.0,11.0,16.0,7.0
407,5.0,9.0,15.0,6.0
408,4.0,11.0,19.0,5.0
409,5.0,12.0,16.0,5.0
410,2.0,12.0,16.0,4.0
411,5.0,11.0,16.0,7.0
412,4.0,10.0,14.0,6.0
413,4.0,12.0,13.0,5.0
414,5.0,12.0,18.0,4.0
415,1.0,12.0,18.0,4.0
416,5.0,12.0,16.0,4.0
417,3.0,12.0,16.0,5.0
418,4.0,12.0,19.0,5.0
419,6.0,11.0,20.0,5.0
420,2.0,12.0,12.0,4.0
421,5.0,9.0,19.0,5.0
422,3.0,11.0,18.0,4.0
423,5.0,10.0,18.0,5.0
424,3.0,13.0,13.0,6.0
425,4.0,10.0,16.0,5.0
426,3.0,12.0,13.0,5.0
427,5.0,9.0,17.0,5.0
428,4.0,11.0,15.0,4.0
429,6.0,12.0,19.0,5.0
430,3.0,10.0,15.0,4.0
431,5.0,9.0,17.0,5.0
432,4.0,10.0,19.0,3.0
433,1.0,11.0,15.0,6.0
434,2.0,11.0,17.0,5.0
435,5.0,11.0,17.0,7.0
436,5.0,9.0,16.0,4.0
437,5.0,10.0,15.0,4.0
438,5.0,12.0,15.0,7.0
439,4.0,11.0,14.0,3.0
440,7.0,10.0,16.0,4.0
441,4.0,10.0,17.0,5.0
442,5.0,13.0,16.0,3.0
443,3.0,11.0,15.0,6.0
444,4.0,10.0,13.0,4.0
445,5.0,10.0,17.0,5.0
446,5.0,11.0,16.0,4.0
447,2.0,11.0,20.0,7.0
448,7.0,10.0,19.0,4.0
449,4.0,11.0,17.0,4.0
450,3.0,12.0,17.0,6.0
451,3.0,9.0,18.0,4.0
452,5.0,13.0,21.0,3.0
453,1.0,13.0,19.0,4.0
