,none,E1,E2,I2,19B
556,6.0,1.0,0.0,10.0,3.0
557,6.0,0.0,0.0,10.0,2.0
558,9.0,1.0,1.0,12.0,6.0
559,7.0,1.0,1.0,9.0,3.0
560,7.0,1.0,1.0,10.0,4.0
561,8.0,1.0,1.0,14.0,6.0
562,7.0,1.0,1.0,10.0,3.0
563,8.0,1.0,1.0,18.0,5.0
564,6.0,0.0,0.0,9.0,2.0
565,7.0,1.0,1.0,10.0,5.0
566,8.0,1.0,0.0,11.0,3.0
567,7.0,1.0,1.0,14.0,5.0
568,8.0,1.0,0.0,9.0,5.0
569,8.0,1.0,0.0,9.0,6.0
570,8.0,1.0,0.0,10.0,5.0
571,8.0,1.0,1.0,17.0,5.0
572,9.0,1.0,1.0,18.0,5.0
573,7.0,1.0,1.0,10.0,3.0
574,7.0,1.0,1.0,13.0,6.0
575,7.0,1.0,0.0,9.0,3.0
576,7.0,1.0,1.0,11.0,4.0
577,9.0,1.0,1.0,17.0,7.0
578,8.0,1.0,0.0,10.0,6.0
579,8.0,1.0,0.0,12.0,6.0
580,8.0,1.0,1.0,16.0,6.0
581,7.0,1.0,1.0,9.0,3.0
582,7.0,0.0,0.0,10.0,4.0
583,9.0,1.0,0.0,14.0,4.0
584,8.0,1.0,0.0,11.0,6.0
585,8.0,1.0,1.0,9.0,5.0
586,8.0,1.0,0.0,10.0,4.0
587,8.0,1.0,1.0,17.0,6.0
588,7.0,1.0,1.0,13.0,3.0
589,6.0,1.0,0.0,10.0,3.0
590,8.0,1.0,1.0,16.0,6.0
591,7.0,1.0,1.0,14.0,4.0
592,8.0,1.0,1.0,14.0,5.0
593,8.0,1.0,0.0,10.0,6.0
594,8.0,0.0,0.0,16.0,6.0
595,8.0,1.0,1.0,15.0,5.0
596,8.0,1.0,0.0,13.0,6.0
597,7.0,1.0,1.0,9.0,4.0
598,9.0,1.0,1.0,20.0,5.0
599,8.0,1.0,1.0,12.0,4.0
600,8.0,1.0,1.0,11.0,6.0
601,7.0,0.0,0.0,10.0,4.0
602,8.0,1.0,1.0,12.0,6.0
603,6.0,1.0,0.0,9.0,3.0
604,9.0,1.0,1.0,13.0,6.0
605,8.0,1.0,1.0,11.0,6.0
606,5.0,1.0,0.0,9.0,2.0
607,9.0,2.0,1.0,19.0,6.0
608,8.0,1.0,1.0,9.0,4.0
609,8.0,1.0,1.0,11.0,6.0
610,8.0,1.0,1.0,10.0,4.0
611,6.0,1.0,0.0,9.0,2.0
612,7.0,1.0,1.0,9.0,3.0
613,7.0,1.0,0.0,10.0,3.0
614,8.0,1.0,1.0,16.0,5.0
615,7.0,1.0,1.0,10.0,3.0
616,8.0,1.0,0.0,12.0,4.0
617,8.0,1.0,1.0,14.0,5.0
618,7.0,0.0,0.0,9.0,2.0
619,7.0,1.0,1.0,11.0,6.0
620,8.0,1.0,1.0,11.0,4.0
621,7.0,1.0,1.0,10.0,3.0
622,6.0,1.0,0.0,8.0,3.0
623,8.0,1.0,1.0,15.0,6.0
624,8.0,0.0,0.0,13.0,3.0
625,8.0,1.0,1.0,20.0,6.0
626,6.0,1.0,1.0,12.0,3.0
627,7.0,1.0,1.0,10.0,3.0
628,8.0,1.0,0.0,9.0,3.0
629,8.0,1.0,0.0,9.0,4.0
630,7.0,0.0,0.0,9.0,2.0
631,8.0,1.0,0.0,18.0,7.0
632,8.0,1.0,1.0,16.0,6.0
